PIVlab, ASCII chart output - 19-Sep-2021
FRAME: 22, filenames: A: 72_12_75_140 022.jpg & B: 72_12_75_140 023.jpg, conversion factor xy (px -> m): 0.00024148, conversion factor uv (px/frame -> m/s): 1
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.03115113106,0.01424741653,NaN,NaN,0,-1.622730923,0.4430179137,-2.168469093,0,2.168469093,1.622730923,-72.63661745
0.03115113106,0.01811112271,NaN,NaN,0,-1.508570396,0.4503243839,-3.095331798,0,2.301518206,2.600912518,-72.78668508
0.03115113106,0.02197482889,NaN,NaN,0,-1.307917586,0.4649522103,-4.963359369,0,2.547048559,4.565412321,-73.08566289
0.03115113106,0.02583853507,NaN,NaN,0,-1.183476589,0.4869495832,-6.848817116,0,2.757121339,6.57773661,-73.53055434
0.03115113106,0.02970224124,NaN,NaN,0,-1.154969896,0.5164366087,-8.79027165,0,2.933806184,8.65096908,-74.11482586
0.03115113106,0.03356594742,NaN,NaN,0,-1.228140909,0.5536624919,-10.84199862,0,3.095021993,10.8052116,-74.82565618
0.03115113106,0.0374296536,NaN,NaN,0,-1.387317216,0.5990678966,-13.06832061,0,3.271749828,13.07000458,-75.64097521
0.03115113106,0.04129335978,NaN,NaN,0,-1.592503794,0.6533262956,-15.5296085,0,3.498918091,15.48396116,-76.52796193
0.03115113106,0.04515706595,NaN,NaN,0,-1.780548921,0.7173341128,-18.26101311,0,3.796817969,18.08695094,-77.44489906
0.03115113106,0.04902077213,NaN,NaN,0,-1.861714375,0.792113838,-21.23982377,0,4.13686875,20.89611528,-78.34685809
0.03115113106,0.05288447831,NaN,NaN,0,-1.712909799,0.8785620114,-24.3383338,0,4.401927565,23.8543155,-79.19353523
0.03115113106,0.05674818449,NaN,NaN,0,-1.195648498,0.9769619752,-27.28277558,0,4.388403899,26.7593186,-79.95604055
0.03115113106,0.06061189067,NaN,NaN,0,-0.2147174915,1.086311158,-29.65903426,0,3.885996864,29.22544329,-80.61943099
0.03115113106,0.06447559684,NaN,NaN,0,1.136344377,1.203735996,-31.05374768,0,2.897717512,30.76177362,-81.17996379
0.03115113106,0.06833930302,NaN,NaN,0,2.476109138,1.324704127,-31.33500471,0,1.847894273,31.04709573,-81.63807959
0.03115113106,0.0722030092,NaN,NaN,0,3.374406509,1.444618306,-30.82704315,0,1.384159734,30.24582647,-81.99098015
0.03115113106,0.07606671538,NaN,NaN,0,3.839016877,1.560920273,-30.0434925,0,1.739625053,28.98455781,-82.22999806
0.03115113106,0.07993042156,NaN,NaN,0,4.985205791,1.673496463,-28.90636202,0,1.829111797,27.49394539,-82.34815676
0.03115113106,0.08379412773,NaN,NaN,0,7.346896977,1.780396498,-26.43221626,0,0.8251513779,25.12917135,-82.33859512
0.03115113106,0.08765783391,NaN,NaN,0,10.10059088,1.875150861,-21.55433662,0,-1.078234514,21.1567655,-82.2025083
0.03115113106,0.09152154009,NaN,NaN,0,13.57911006,1.948634375,-13.07918886,0,-5.155877169,14.67500694,-81.96964639
0.03115113106,0.09538524627,NaN,NaN,0,28.35361041,1.985887686,5.251833197,0,-22.4680546,-1.772297122,-81.69196615
0.03115113106,0.09924895245,NaN,NaN,0,31.44548537,1.925117826,33.23221542,0,-29.16244821,-29.50671419,-81.18662701
0.03115113106,0.1031126586,NaN,NaN,0,33.12621343,1.747849143,64.28684559,0,-33.75181674,-62.1950659,-80.2575057
0.03115113106,0.1069763648,NaN,NaN,0,40.40452346,1.443649607,101.970213,0,-43.18770835,-99.7468295,-78.30855806
0.03115113106,0.110840071,NaN,NaN,0,-78.20691001,0.9853869738,81.86819659,0,75.71895078,-84.6820314,-73.18723574
0.03115113106,0.1147037772,NaN,NaN,0,-41.02534629,0.8205199838,25.31938296,0,39.32978698,-24.090348,-69.82932566
0.03115113106,0.1185674833,NaN,NaN,0,-9.988023116,0.8022422051,0.02079833013,0,7.820979506,-0.3068646868,-69.68928169
0.03115113106,0.1224311895,NaN,NaN,0,3.276413931,0.8164782784,-5.300424363,0,-5.300424363,3.276413931,-70.35022074
0.03501483724,0.01424741653,NaN,NaN,0,-2.540149336,0.4357145846,-2.308289065,0,3.137206396,1.464022365,-72.48151794
0.03501483724,0.01811112271,NaN,NaN,0,-2.417647526,0.4430126857,-3.214283422,0,3.284490897,2.45007783,-72.62297128
0.03501483724,0.02197482889,NaN,NaN,0,-2.205635869,0.4576057125,-5.037817376,0,3.556436229,4.425699651,-72.90646653
0.03501483724,0.02583853507,NaN,NaN,0,-2.088328359,0.4795036583,-6.859362608,0,3.791295348,6.450286151,-73.33267685
0.03501483724,0.02970224124,NaN,NaN,0,-2.097038378,0.5087692373,-8.722140451,0,3.993021407,8.527817792,-73.90049607
0.03501483724,0.03356594742,NaN,NaN,0,-2.24830567,0.5455874758,-10.6926115,0,4.185680022,10.66945324,-74.60327957
0.03501483724,0.0374296536,NaN,NaN,0,-2.530186381,0.5903534751,-12.8543843,0,4.410188837,12.8998114,-75.42403302
0.03501483724,0.04129335978,NaN,NaN,0,-2.895898258,0.6437442977,-15.29117449,0,4.714439488,15.26324525,-76.33164421
0.03501483724,0.04515706595,NaN,NaN,0,-3.265588124,0.7067468825,-18.06743047,0,5.132826597,17.82695296,-77.28162802
0.03501483724,0.04902077213,NaN,NaN,0,-3.515089687,0.780632025,-21.1987174,0,5.635265997,20.66848642,-78.22278924
0.03501483724,0.05288447831,NaN,NaN,0,-3.448316065,0.8667841884,-24.58818884,0,6.047459587,23.81172583,-79.10784323
0.03501483724,0.05674818449,NaN,NaN,0,-2.817193034,0.9661637757,-27.94949674,0,6.035162099,27.09965894,-79.90351953
0.03501483724,0.06061189067,NaN,NaN,0,-1.396026147,1.07835869,-30.73603955,0,5.183046975,30.05977764,-80.59473605
