# y_shift_array
-8.299122384762192439e+00,-5.077985435497473787e+01,-1.037232669788678834e+02,-2.165685288296540421e+02
-4.210318336647430471e+01,-1.004337311086655120e+02,-2.413025840533150301e+02,-5.105576501573636961e+02
-7.454949674715405763e+02,-1.148395194216412847e+03,-1.930551839927296669e+03,-2.673935995119733889e+03
-3.502281728437819908e+01,-5.257312960473454666e+01,-1.222441291984391682e+02,-2.314917799877068205e+02
-2.998091548114710392e+01,-7.343974032378038430e+01,-1.581888907709283103e+02,-2.625542088870086559e+02
-2.709199766310680957e+01,-6.099049107891184462e+01,-1.183036708087332727e+02,-2.212923706379444866e+02
-1.206596282610468052e+02,-2.397113594071644513e+02,-6.098621266637551344e+02,-1.096817096383106446e+03
-5.704454844678123138e+00,-4.605635225427615609e+01,-1.475726238073466732e+02,-2.204251429873442589e+02
-2.054508314771126010e+01,-4.364469925450325860e+01,-1.253139858919064835e+02,-2.054092801693495289e+02
-7.608015928167064601e+01,-2.241040973439225752e+02,-3.722196271540271368e+02,-7.368062903706053248e+02
-1.597434548519339899e+02,-3.985946886488909513e+02,-7.965422984068596861e+02,-1.343112171748131914e+03
-2.351007283669565240e+01,-7.468422425416555654e+01,-2.292028560059802373e+02,-4.932268969538854435e+02
