time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;4.596;0;6
0.500011;0.0387983;0;0.0231822;4.596;0;6
1.000023;-0.0123313;0;-0.00443101;4.596;0;6
1.500034;-0.00224219;0;0.00476187;4.596;0;6
2.000003;-0.0118773;0;0.00287746;4.596;0;6
2.500030;-0.00678818;0;-0.0122563;4.596;0;6
3.000009;-0.00532602;0;-0.00203971;4.596;0;6
3.500013;0.00184342;0;-0.0102158;4.596;0;6
4.000015;0.00236657;0;0.000281161;4.596;0;6
4.500008;0.00741072;0;0.00247741;4.596;0;6
5.000038;-0.0197696;0;0.0123453;4.596;0;6
5.500038;-0.00214098;0;0.0015371;4.596;0;6
6.000010;-0.0117234;0;0.00330256;4.596;0;6
6.500012;-0.0111652;0;0.00367363;4.596;0;6
7.000030;0.0107641;0;-0.00631129;4.596;0;6
7.500012;0.00210992;0;0.00445718;4.596;0;6
8.000030;0.00205794;0;-0.00557601;4.596;0;6
8.500022;0.00608128;0;-0.0111202;4.596;0;6
9.000002;-0.00636079;0;-0.00328507;4.596;0;6
9.500027;-0.00171526;0;-0.00800051;4.596;0;6
10.000030;-0.000660644;0;0.00681441;4.596;0;6
10.500011;0.015697;0;0.00015454;4.596;0;6
11.000020;-0.0145405;0;-0.0110164;4.596;0;6
11.500044;0.0082864;0;-0.00461448;4.596;0;6
12.000031;0.000103739;0;-0.00316477;4.596;0;6
12.500009;0.00782049;0;0.00681378;4.596;0;6
13.000046;-0.0173736;0;-0.00693786;4.596;0;6
13.500005;-0.00723569;0;-0.0027229;4.596;0;6
14.000047;0.0094048;0;-0.00758782;4.596;0;6
14.500016;-0.0124204;0;-0.00326147;4.596;0;6
15.000038;-0.000586356;0;-0.00763801;4.596;0;6
15.500026;0.0114166;0;0.018626;4.596;0;6
16.000025;0.0215167;0;-0.0239101;4.596;0;6
16.500027;0.0105958;0;-0.0138333;4.596;0;6
17.000031;0.0243793;0;-0.0139242;4.596;0;6
17.500028;-0.0101092;0;-0.00285539;4.596;0;6
18.000025;0.00573977;0;0.0109575;4.596;0;6
18.500042;0.00964229;0;0.0128279;4.596;0;6
19.000038;0.00136358;0;0.00570018;4.596;0;6
19.500022;-0.0158398;0;0.000546477;4.596;0;6
20.000044;-0.00355499;0;0.0141678;4.596;0;6
20.500043;0.0069488;0;0.0127085;4.596;0;6
21.000020;0.0303385;0;-0.0154337;4.596;0;6
21.500016;-0.0153385;0;-0.00247084;4.596;0;6
22.000031;0.0134965;0;-0.0257643;4.596;0;6
22.500038;0.0304258;0;-0.00400931;4.596;0;6
23.000010;8.6363e-05;0;0.00225799;4.596;0;6
23.500005;-0.00822677;0;0.0012542;4.596;0;6
24.000029;-0.0156542;0;0.0050052;4.596;0;6
24.500039;-0.00937971;0;0.00131818;4.596;0;6
25.000012;-0.00154567;0;0.00661163;4.596;0;6
25.500034;0.0167259;0;-0.0129785;4.596;0;6
26.000044;-0.00687037;0;0.00845346;4.596;0;6
26.500035;0.0179684;0;-0.00229892;4.596;0;6
27.000045;-0.00413917;0;0.00423946;4.596;0;6
27.500028;0.00200208;0;-0.00446537;4.596;0;6
28.000007;-0.003969;0;-0.00413842;4.596;0;6
28.500010;0.014134;0;-0.00102388;4.596;0;6
29.000011;-0.00857416;0;-0.0136725;4.596;0;6
29.500010;0.0131857;0;0.00720575;4.596;0;6
30.000043;0.00227059;0;0.00137355;4.596;0;6
30.500014;0.0177685;0;-0.00955012;4.596;0;6
31.000012;-0.0135999;0;-0.0144321;4.596;0;6
31.500028;0.0170652;0;0.00773264;4.596;0;6
32.000040;-0.0303665;0;-0.0115518;4.596;0;6
32.500036;0.0118271;0;-0.0122086;4.596;0;6
33.000019;-0.007208;0;-0.0124514;4.596;0;6
33.500006;-0.00866314;0;-0.0241151;4.596;0;6
34.000038;-0.00435279;0;-0.0135179;4.596;0;6
34.500017;-0.0281691;0;-0.00299234;4.596;0;6
35.000013;0.0222089;0;-0.0379192;4.596;0;6
35.500011;0.0147629;0;-0.0441006;4.596;0;6
36.000031;-0.00362536;0;-0.0519088;4.596;0;6
36.500010;-0.0137582;0;-0.0155401;4.596;0;6
37.000040;0.00198531;0;-0.0202446;4.596;0;6
37.500024;0.00800339;0;-0.0360229;4.596;0;6
38.000045;0.00203385;0;-0.0658923;4.596;0;6
38.500038;-0.0118568;0;-0.00890672;4.596;0;6
39.000038;0.000911624;0;-0.0435325;4.596;0;6
39.500012;-0.0215978;0;-0.03503;4.596;0;6
40.000028;0.0214012;0;-0.0297635;4.596;0;6
40.500005;0.00449574;0;-0.0195524;4.596;0;6
41.000030;-0.0107354;0;0.00628668;4.596;0;6
41.500032;0.00779432;0;-0.0124946;4.596;0;6
42.000044;-0.00205738;0;-0.0206863;4.596;0;6
42.500013;0.00867885;0;0.0192102;4.596;0;6
43.000017;0.0100153;0;0.0108977;4.596;0;6
43.500029;-0.00264815;0;-0.0152541;4.596;0;6
44.000021;-0.000861475;0;0.0243242;4.596;0;6
44.500003;0.0133162;0;0.00690556;4.596;0;6
45.000028;-0.0106414;0;-0.00595177;4.596;0;6
45.500029;0.0215396;0;0.0130242;4.596;0;6
46.000012;0.00518439;0;-0.00914254;4.596;0;6
46.500001;0.00418407;0;0.0120203;4.596;0;6
47.000022;-0.00325076;0;-0.0107273;4.596;0;6
47.500042;-0.0152224;0;-0.00589417;4.596;0;6
48.000018;0.00567652;0;0.0133677;4.596;0;6
48.500025;-0.0202091;0;-0.0140279;4.596;0;6
49.000018;0.0258438;0;-0.000184024;4.596;0;6
49.500033;-0.00290353;0;-0.00610539;4.596;0;6
50.000027;-0.0057869;0;-0.0256625;4.596;0;6
50.500040;-0.0108817;0;-0.0158978;4.596;0;6
51.000004;-0.00226808;0;-0.0369704;4.596;0;6
51.500013;-0.00463028;0;-0.00519841;4.596;0;6
52.000012;-0.0051886;0;-0.000901714;4.596;0;6
52.500046;0.00681829;0;-0.00926076;4.596;0;6
53.000037;0.00190515;0;-0.000535922;4.596;0;6
53.500004;0.00402142;0;0.00574791;4.596;0;6
54.000037;-0.00222531;0;-0.0485319;4.596;0;6
54.500033;0.0115959;0;0.00206457;4.596;0;6
55.000001;0.0127073;0;0.00204245;4.596;0;6
55.500013;0.018868;0;0.0020766;4.596;0;6
56.000042;-0.0201957;0;0.023272;4.596;0;6
56.500018;0.00135081;0;0.00529815;4.596;0;6
57.000030;-0.00859392;0;-0.0119779;4.596;0;6
57.500021;0.0117635;0;0.00621803;4.596;0;6
58.000045;0.00741611;0;0.0131424;4.596;0;6
58.500041;0.000894267;0;-0.00756494;4.596;0;6
59.000041;0.010187;0;0.00654391;4.596;0;6
59.500004;-0.0128394;0;-0.0183569;4.596;0;6
60.000045;-0.000948248;0;-0.00812588;4.596;0;6
60.500028;-0.000439961;0;-0.00898686;4.596;0;6
61.000033;-0.0012882;0;0.00497623;4.596;0;6
61.500045;0.00671936;0;0.000332988;4.596;0;6
62.000028;-0.00183522;0;0.00904991;4.596;0;6
62.500020;-0.011061;0;0.0194268;4.596;0;6
63.000031;-0.000883332;0;0.00155705;4.596;0;6
63.500045;0.00588704;0;-0.0209504;4.596;0;6
64.000003;-0.000314789;0;0.0105847;4.596;0;6
64.500029;-0.0136761;0;0.0367959;4.596;0;6
65.000033;0.00493129;0;0.0191242;4.596;0;6
65.500043;0.0101689;0;0.00259724;4.596;0;6
66.000038;0.0231435;0;0.0138618;4.596;0;6
66.500036;-0.00120024;0;-0.0172569;4.596;0;6
67.000010;0.00522836;0;0.00789179;4.596;0;6
67.500018;-0.00486565;0;0.0170495;4.596;0;6
68.000041;0.00813071;0;0.0134784;4.596;0;6
68.500017;-0.00553134;0;-0.00756255;4.596;0;6
69.000030;-0.00629865;0;0.00947421;4.596;0;6
69.500024;0.0172754;0;-0.00575382;4.596;0;6
70.000028;-0.0140095;0;-0.0139271;4.596;0;6
70.500032;-0.0116346;0;0.00400398;4.596;0;6
71.000037;0.00995069;0;0.00373164;4.596;0;6
71.500025;0.00967333;0;0.00191573;4.596;0;6
72.000014;-0.00437136;0;0.0182433;4.596;0;6
72.500012;-0.0201265;0;-0.0105731;4.596;0;6
73.000039;-0.0106001;0;-0.00349462;4.596;0;6
73.500002;0.0114589;0;-0.00194266;4.596;0;6
74.000008;0.00240036;0;0.0136384;4.596;0;6
74.500016;0.0180412;0;-0.0123074;4.596;0;6
75.000017;0.00692559;0;0.00669103;4.596;0;6
75.500019;-0.00782624;0;-0.0124431;4.596;0;6
76.000019;-0.0101379;0;0.00043444;4.596;0;6
76.500041;0.00420504;0;-0.0119051;4.596;0;6
77.000013;-0.00515943;0;0.00279728;4.596;0;6
77.500016;0.00175121;0;0.00500809;4.596;0;6
78.000013;0.00430555;0;-0.00187679;4.596;0;6
