time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
56.000042;-0.00956111;0;-0.0644149;1.909;0;6
56.500018;-0.00195183;0;-0.0713146;1.909;0;6
57.000030;0.00118742;0;-0.0672364;1.909;0;6
57.500021;0.00934872;0;-0.0272183;1.909;0;6
58.000045;-0.0251603;0;-0.0460823;1.909;0;6
58.500041;0.0232261;0;-0.0322536;1.909;0;6
59.000041;0.0194211;0;-0.0530035;1.909;0;6
59.500004;0.00145426;0;-0.0118568;1.909;0;6
60.000045;0.00384247;0;-0.0728805;1.909;0;6
60.500028;0.00786599;0;-0.0261638;1.909;0;6
61.000033;-0.00502687;0;-0.0285932;1.909;0;6
61.500045;-0.0262298;0;-0.0452245;1.909;0;6
62.000028;0.00207996;0;-0.0700989;1.909;0;6
62.500020;0.00514775;0;-0.0804486;1.909;0;6
63.000031;-0.0164115;0;-0.0445877;1.909;0;6
63.500045;0.00069839;0;-0.0192168;1.909;0;6
64.000003;-0.0109848;0;-0.00936838;1.909;0;6
64.500029;0.00382314;0;-0.0596711;1.909;0;6
65.000033;-0.00431323;0;-0.0634175;1.909;0;6
65.500043;0.0153732;0;-0.0915581;1.909;0;6
66.000038;-0.00748407;0;-0.0394958;1.909;0;6
66.500036;-0.00636815;0;-0.0256702;1.909;0;6
67.000010;0.0233405;0;-0.0297788;1.909;0;6
67.500018;-0.0119705;0;-0.0421372;1.909;0;6
68.000041;0.00965098;0;-0.0453531;1.909;0;6
68.500017;-0.0181968;0;-0.0126613;1.909;0;6
69.000030;0.00378291;0;-0.0466478;1.909;0;6
69.500024;0.00665373;0;-0.0299186;1.909;0;6
70.000028;0.00630552;0;-0.0543576;1.909;0;6
70.500032;-0.00216333;0;-0.0327648;1.909;0;6
71.000037;-0.0107034;0;-0.0738877;1.909;0;6
71.500025;0.0192086;0;-0.0566916;1.909;0;6
72.000014;-0.0153481;0;-0.0264288;1.909;0;6
72.500012;-0.00205708;0;-0.0515693;1.909;0;6
73.000039;0.00519539;0;-0.0763568;1.909;0;6
73.500002;0.00338059;0;-0.0554814;1.909;0;6
74.000008;-0.0048451;0;-0.06797;1.909;0;6
74.500016;-0.00246375;0;-0.0565976;1.909;0;6
75.000017;-0.0124704;0;-0.0609309;1.909;0;6
75.500019;-0.0209943;0;-0.062156;1.909;0;6
76.000019;-0.00355278;0;-0.044218;1.909;0;6
76.500041;0.00378769;0;-0.0335984;1.909;0;6
77.000013;0.00576155;0;-0.0421151;1.909;0;6
77.500016;0.000873424;0;-0.0520175;1.909;0;6
78.000013;-0.00324524;0;-0.0533467;1.909;0;6
78.500004;-0.0144312;0;-0.070637;1.909;0;6
79.000021;-0.00145375;0;-0.0667992;1.909;0;6
79.500013;0.0202163;0;-0.0874723;1.909;0;6
80.000000;-0.00694548;0;-0.0601644;1.909;0;6
80.500011;-0.000166971;0;-0.0531147;1.909;0;6
81.000014;0.020324;0;-0.00806143;1.909;0;6
81.500018;-0.00876364;0;-0.0748139;1.909;0;6
82.000030;0.0126712;0;-0.0357143;1.909;0;6
82.500022;0.0128709;0;-0.072851;1.909;0;6
83.000001;0.014595;0;-0.0301609;1.909;0;6
83.500039;0.000699709;0;-0.0390325;1.909;0;6
84.000015;-0.00696003;0;-0.0228857;1.909;0;6
84.500035;-0.0040778;0;-0.0102465;1.909;0;6
85.000003;-0.00298335;0;-0.0358023;1.909;0;6
