xloc,vavg
0.313000,-0.057715
0.329000,-0.057714
0.345000,-0.058692
0.361000,-0.059825
0.377000,-0.062115
0.393000,-0.064328
0.409000,-0.066520
0.425000,-0.067588
0.441000,-0.067718
0.457000,-0.068561
0.473000,-0.070379
0.489000,-0.073331
0.505000,-0.075202
0.521000,-0.075766
0.537000,-0.076000
0.553000,-0.076935
0.569000,-0.078578
0.585000,-0.079466
0.601000,-0.078815
0.617000,-0.076681
0.633000,-0.073972
0.649000,-0.070925
0.665000,-0.067390
0.681000,-0.063687
0.697000,-0.060498
0.713000,-0.058672
0.729000,-0.057774
0.745000,-0.057566
0.762000,-0.057628
0.778000,-0.058133
0.794000,-0.058639
0.810000,-0.058505
0.826000,-0.057470
0.842000,-0.055751
0.858000,-0.054279
0.874000,-0.053203
0.890000,-0.052718
0.906000,-0.052453
0.922000,-0.052592
0.938000,-0.052793
0.954000,-0.052949
0.970000,-0.052898
0.986000,-0.052848
1.002000,-0.052770
1.018000,-0.052891
1.034000,-0.053448
1.050000,-0.054511
1.066000,-0.056159
1.082000,-0.057754
1.098000,-0.059219
1.114000,-0.059740
1.130000,-0.059503
1.146000,-0.058374
1.162000,-0.057455
1.178000,-0.057113
1.194000,-0.057572
1.210000,-0.058261
1.226000,-0.059107
1.242000,-0.059804
1.259000,-0.060491
1.275000,-0.061021
1.291000,-0.061483
1.307000,-0.061952
1.323000,-0.062316
1.339000,-0.062750
1.355000,-0.063063
1.371000,-0.063494
1.387000,-0.063765
1.403000,-0.064171
1.419000,-0.064412
1.435000,-0.064787
1.451000,-0.065007
1.467000,-0.065343
1.483000,-0.065563
1.499000,-0.065861
1.515000,-0.066110
1.531000,-0.066357
1.547000,-0.066608
1.563000,-0.066793
1.579000,-0.067065
1.595000,-0.067186
1.611000,-0.067410
1.627000,-0.067481
1.643000,-0.067723
1.659000,-0.067873
1.675000,-0.068251
1.691000,-0.068462
1.707000,-0.068232
1.723000,-0.066964
1.739000,-0.064843
1.756000,-0.062730
1.772000,-0.061761
1.788000,-0.061966
1.804000,-0.062534
1.820000,-0.063174
1.836000,-0.063459
1.852000,-0.063720
1.868000,-0.063741
1.884000,-0.063817
1.900000,-0.063750
1.916000,-0.063738
1.932000,-0.063668
1.948000,-0.063644
1.964000,-0.063714
1.980000,-0.063812
1.996000,-0.064174
2.012000,-0.064624
2.028000,-0.065022
2.044000,-0.064349
2.060000,-0.062459
2.076000,-0.059920
2.092000,-0.058347
2.108000,-0.058284
2.124000,-0.058936
2.140000,-0.059021
2.156000,-0.058073
2.172000,-0.056875
2.188000,-0.056245
2.204000,-0.056634
2.220000,-0.057474
2.236000,-0.058577
2.253000,-0.059534
2.269000,-0.060106
