xloc,zvavg
-8.000000,0.000000
-7.968000,0.000000
-7.936000,0.000000
-7.904000,0.000000
-7.872000,0.000000
-7.840000,0.000000
-7.808000,0.000000
-7.776000,0.000000
-7.743000,0.000000
-7.711000,0.000000
-7.679000,0.000000
-7.647000,0.000000
-7.615000,0.000000
-7.583000,0.000000
-7.551000,0.000000
-7.519000,0.000000
-7.487000,0.000000
-7.455000,0.000000
-7.423000,0.000000
-7.391000,0.000000
-7.359000,0.000000
-7.327000,0.000000
-7.295000,0.000000
-7.263000,0.000000
-7.230000,0.000000
-7.198000,0.000000
-7.166000,0.000000
-7.134000,0.000000
-7.102000,0.000000
-7.070000,0.000000
-7.038000,0.000000
-7.006000,0.000000
-6.974000,0.000000
-6.942000,0.000000
-6.910000,0.000000
-6.878000,0.000000
-6.846000,0.000000
-6.814000,0.000000
-6.782000,0.000000
-6.749000,0.000000
-6.717000,0.000000
-6.685000,0.000000
-6.653000,0.000000
-6.621000,0.000000
-6.589000,0.000000
-6.557000,0.000000
-6.525000,0.000000
-6.493000,0.000000
-6.461000,0.000000
-6.429000,0.000000
-6.397000,0.000000
-6.365000,0.000000
-6.333000,0.000000
-6.301000,0.000000
-6.269000,0.000000
-6.236000,0.000000
-6.204000,0.000000
-6.172000,0.000000
-6.140000,0.000000
-6.108000,0.000000
-6.076000,-0.000889
-6.044000,-0.002279
-6.012000,-0.004331
-5.980000,-0.001586
-5.948000,0.001695
-5.916000,-0.001754
-5.884000,-0.001664
-5.852000,-0.000609
-5.820000,-0.001274
-5.788000,-0.002983
-5.756000,-0.002133
-5.723000,-0.004792
-5.691000,-0.002935
-5.659000,-0.002741
-5.627000,-0.004283
-5.595000,-0.004015
-5.563000,-0.004844
-5.531000,-0.003870
-5.499000,-0.002087
-5.467000,-0.002771
-5.435000,-0.001637
-5.403000,-0.003287
-5.371000,-0.005591
-5.339000,-0.008624
-5.307000,-0.007933
-5.275000,-0.008492
-5.242000,-0.011247
-5.210000,-0.013142
-5.178000,-0.015582
-5.146000,-0.015890
-5.114000,-0.013521
-5.082000,-0.015313
-5.050000,-0.016868
-5.018000,-0.013275
-4.986000,-0.014069
-4.954000,-0.014475
-4.922000,-0.015891
-4.890000,-0.018365
-4.858000,-0.017462
-4.826000,-0.015287
-4.794000,-0.014879
-4.762000,-0.022059
-4.729000,-0.027815
-4.697000,-0.030717
