xloc,vavg
-7.000000,0.000000
-6.859000,0.000000
-6.717000,0.000000
-6.576000,0.000000
-6.434000,0.000000
-6.293000,0.000000
-6.152000,0.000000
-6.010000,-0.000121
-5.869000,-0.000961
-5.727000,-0.001061
-5.586000,-0.001309
-5.444000,-0.001116
-5.303000,-0.000470
-5.162000,0.000699
-5.020000,0.001761
-4.879000,0.002538
-4.737000,0.003176
-4.596000,0.003081
-4.455000,0.001893
-4.313000,0.000608
-4.172000,-0.002348
-4.030000,-0.005973
-3.889000,-0.022808
-3.747000,-0.024169
-3.606000,-0.025217
-3.465000,-0.039680
-3.323000,-0.052920
-3.182000,-0.072331
-3.040000,-0.096619
-2.899000,-0.098498
-2.758000,-0.118309
-2.616000,-0.120636
-2.475000,-0.125897
-2.333000,-0.136384
-2.192000,-0.135959
-2.051000,-0.145848
-1.909000,-0.152672
-1.768000,-0.150531
-1.626000,-0.149847
-1.485000,-0.151420
-1.343000,-0.154523
-1.202000,-0.157038
-1.061000,-0.159019
-0.919000,-0.181381
-0.778000,-0.170046
-0.636000,-0.137033
-0.495000,-0.127894
-0.354000,-0.125179
-0.212000,-0.072358
-0.071000,1.498232
0.071000,1.491857
0.212000,-0.037750
0.354000,-0.067273
0.495000,-0.071847
0.636000,-0.072075
0.778000,-0.076936
0.919000,-0.080377
1.061000,-0.082514
1.202000,-0.083047
1.343000,-0.080860
1.485000,-0.080446
1.626000,-0.078837
1.768000,-0.077413
1.909000,-0.076569
2.051000,-0.075142
2.192000,-0.074109
2.333000,-0.075229
2.475000,-0.065535
2.616000,-0.066217
2.758000,-0.055986
2.899000,-0.056982
3.040000,-0.057536
3.182000,-0.046535
3.323000,-0.040296
3.465000,-0.031530
3.606000,-0.026502
3.747000,-0.016982
3.889000,-0.016863
4.030000,-0.015101
4.172000,-0.012974
4.313000,-0.010454
4.455000,-0.008737
4.596000,-0.007570
4.737000,-0.006384
4.879000,-0.004904
5.020000,-0.002734
5.162000,-0.000536
5.303000,0.000008
5.444000,0.000038
5.586000,-0.000369
5.727000,-0.000551
5.869000,-0.000265
6.010000,-0.000085
6.152000,0.000000
6.293000,0.000000
6.434000,0.000000
6.576000,0.000000
6.717000,0.000000
6.859000,0.000000
