xloc,vavg
0.754000,-0.032146
0.786000,-0.032164
0.818000,-0.032125
0.850000,-0.032024
0.882000,-0.031905
0.914000,-0.031776
0.946000,-0.031632
0.978000,-0.031446
1.010000,-0.031255
1.042000,-0.031078
1.074000,-0.030929
1.106000,-0.030772
1.138000,-0.030605
1.170000,-0.030466
1.202000,-0.030406
1.234000,-0.030379
1.267000,-0.030343
1.299000,-0.030355
1.331000,-0.030430
1.363000,-0.030563
1.395000,-0.030708
1.427000,-0.030837
1.459000,-0.030954
1.491000,-0.031072
1.523000,-0.031156
1.555000,-0.031143
1.587000,-0.030996
1.619000,-0.030739
1.651000,-0.030365
1.683000,-0.029718
1.715000,-0.028846
1.747000,-0.027845
1.780000,-0.026651
1.812000,-0.025223
1.844000,-0.022254
1.876000,-0.013064
1.908000,-0.007518
1.940000,-0.006223
1.972000,-0.005278
2.004000,-0.004567
2.036000,-0.003946
2.068000,-0.003348
2.100000,-0.002845
2.132000,-0.002410
2.164000,-0.002091
2.196000,-0.001846
2.228000,-0.001682
2.261000,-0.001576
2.293000,-0.001534
2.325000,-0.001544
2.357000,-0.001607
2.389000,-0.001720
2.421000,-0.001869
2.453000,-0.002033
2.485000,-0.002188
2.517000,-0.002318
2.549000,-0.002417
2.581000,-0.002482
2.613000,-0.002505
2.645000,-0.002481
2.677000,-0.002408
2.709000,-0.002292
2.741000,-0.002136
2.774000,-0.001935
2.806000,-0.001706
2.838000,-0.001454
2.870000,-0.001192
2.902000,-0.000930
2.934000,-0.000678
2.966000,-0.000441
2.998000,-0.000225
3.030000,-0.000033
3.062000,0.000137
3.094000,0.000285
3.126000,0.000405
3.158000,0.000499
3.190000,0.000568
3.222000,0.000620
3.255000,0.000652
3.287000,0.000667
3.319000,0.000660
3.351000,0.000638
3.383000,0.000608
3.415000,0.000569
3.447000,0.000521
3.479000,0.000468
3.511000,0.000404
3.543000,0.000327
3.575000,0.000238
3.607000,0.000144
3.639000,0.000052
3.671000,-0.000041
3.703000,-0.000131
3.735000,-0.000214
3.768000,-0.000287
3.800000,-0.000342
3.832000,-0.000384
3.864000,-0.000415
3.896000,-0.000430
3.928000,-0.000425
3.960000,-0.000403
3.992000,-0.000367
4.024000,-0.000325
4.056000,-0.000286
4.088000,-0.000262
4.120000,-0.000263
4.152000,-0.000291
4.184000,-0.000353
4.216000,-0.000447
4.248000,-0.000574
4.281000,-0.000746
4.313000,-0.000951
4.345000,-0.001192
4.377000,-0.001465
4.409000,-0.001771
4.441000,-0.002109
4.473000,-0.002477
4.505000,-0.002880
4.537000,-0.003317
4.569000,-0.003782
4.601000,-0.004275
4.633000,-0.004787
4.665000,-0.005307
4.697000,-0.005822
4.729000,-0.006325
4.762000,-0.006819
4.794000,-0.007258
4.826000,-0.007645
4.858000,-0.007975
4.890000,-0.008245
4.922000,-0.008452
4.954000,-0.008597
4.986000,-0.008690
5.018000,-0.008753
5.050000,-0.008836
5.082000,-0.009118
5.114000,-0.009637
5.146000,-0.010091
5.178000,-0.010234
5.210000,-0.010128
5.242000,-0.009896
5.275000,-0.009591
5.307000,-0.009255
5.339000,-0.008915
5.371000,-0.008594
5.403000,-0.008335
5.435000,-0.008097
5.467000,-0.007863
5.499000,-0.007573
5.531000,-0.007271
5.563000,-0.007027
5.595000,-0.006998
5.627000,-0.007063
5.659000,-0.007054
5.691000,-0.006872
5.723000,-0.006503
5.756000,-0.006102
5.788000,-0.005954
5.820000,-0.005919
