xloc,zvavg
-0.38576210,-0.08585004
-0.35490036,-0.08591133
-0.32403863,-0.08595565
-0.29317689,-0.08598186
-0.26231515,-0.08598784
-0.23145343,-0.08596571
-0.20059171,-0.08589712
-0.16972999,-0.08576506
-0.13886827,-0.08556336
-0.10800655,-0.08530337
-0.07714483,-0.08494185
-0.04628311,-0.08446279
-0.01542139,-0.08392277
0.01544033,-0.08330372
0.04630206,-0.08260855
0.07716378,-0.08185691
0.10802550,-0.08107372
0.13888723,-0.08025555
0.16974895,-0.07938752
0.20061067,-0.07846279
0.23147239,-0.07750367
0.26233411,-0.07652411
0.29319584,-0.07552543
0.32405758,-0.07450441
0.35491931,-0.07345908
0.38578105,-0.07239066
0.41664279,-0.07130800
0.44750452,-0.07021585
0.47836626,-0.06911638
0.50922799,-0.06801107
0.54008973,-0.06690188
0.57095146,-0.06578948
0.60181320,-0.06467354
0.63267493,-0.06355456
0.66353667,-0.06243517
0.69439840,-0.06131894
0.72526014,-0.06020883
0.75612187,-0.05910501
0.78698361,-0.05800704
0.81784534,-0.05691000
0.84870708,-0.05581303
0.87956881,-0.05471830
0.91043055,-0.05362924
0.94129229,-0.05254682
0.97215402,-0.05147066
1.00301576,-0.05040159
1.03387749,-0.04934090
1.06473923,-0.04828887
1.09560096,-0.04724568
1.12646270,-0.04621159
1.15732443,-0.04518761
1.18818617,-0.04417250
1.21904790,-0.04316492
1.24990964,-0.04216453
1.28077137,-0.04118548
1.31163311,-0.04022614
1.34249485,-0.03927647
1.37335658,-0.03833386
1.40421832,-0.03740189
1.43508005,-0.03648035
1.46594179,-0.03556869
1.49680352,-0.03467040
1.52766526,-0.03377377
1.55852699,-0.03290673
1.58938873,-0.03206439
1.62025046,-0.03122070
1.65111220,-0.03038233
1.68197393,-0.02956225
1.71283567,-0.02875654
1.74369740,-0.02796742
1.77455914,-0.02719367
1.80542088,-0.02643520
1.83628261,-0.02569186
1.86714435,-0.02496517
1.89800608,-0.02425476
1.92886782,-0.02356020
1.95972955,-0.02288315
1.99059129,-0.02222527
2.02145290,-0.02158928
2.05231452,-0.02097082
2.08317614,-0.02036402
2.11403775,-0.01977474
2.14489937,-0.01920301
2.17576098,-0.01864944
2.20662260,-0.01811203
2.23748422,-0.01759035
2.26834583,-0.01708427
2.29920745,-0.01659564
2.33006907,-0.01612288
2.36093068,-0.01566456
2.39179230,-0.01522043
2.42265391,-0.01478999
2.45351553,-0.01438118
2.48437715,-0.01397165
2.51523876,-0.01357844
2.54610038,-0.01319900
2.57696199,-0.01283201
2.60782361,-0.01247546
2.63868523,-0.01212944
2.66954684,-0.01179370
2.70040846,-0.01146627
2.73127007,-0.01114691
2.76213169,-0.01083430
2.79299331,-0.01052853
2.82385492,-0.01023055
2.85471654,-0.00993833
2.88557816,-0.00965147
2.91643977,-0.00936938
2.94730139,-0.00909275
2.97816300,-0.00882011
3.00902462,-0.00855105
3.03988624,-0.00828512
3.07074785,-0.00802235
3.10160947,-0.00776258
3.13247108,-0.00750576
3.16333270,-0.00725129
3.19419432,-0.00699909
3.22505593,-0.00674896
3.25591755,-0.00650087
3.28677917,-0.00625446
3.31764078,-0.00600943
3.34850240,-0.00576578
3.37936401,-0.00552337
3.41022563,-0.00528181
3.44108725,-0.00504096
3.47194886,-0.00480067
3.50281048,-0.00456191
3.53367209,-0.00432038
3.56453371,-0.00408163
3.59539533,-0.00384521
3.62625694,-0.00360714
3.65711856,-0.00336923
3.68798018,-0.00313088
3.71884179,-0.00289403
3.74970341,-0.00265652
3.78056502,-0.00241916
3.81142664,-0.00218180
3.84228826,-0.00194468
3.87314987,-0.00170738
3.90401149,-0.00146987
3.93487310,-0.00123226
3.96573472,-0.00099414
3.99659634,-0.00075579
4.02745819,-0.00051702
4.05832005,-0.00027794
4.08918190,-0.00003859
4.12004375,0.00020108
4.15090561,0.00044109
4.18176746,0.00068155
4.21262932,0.00092256
4.24349117,0.00116410
4.27435303,0.00140636
4.30521488,0.00164913
4.33607674,0.00189253
4.36693859,0.00213638
4.39780045,0.00238081
4.42866230,0.00262592
4.45952415,0.00287131
4.49038601,0.00311704
4.52124786,0.00336353
4.55210972,0.00361022
4.58297157,0.00385763
4.61383343,0.00410554
4.64469528,0.00435382
4.67555714,0.00460248
4.70641899,0.00485187
4.73728085,0.00510231
4.76814270,0.00535423
4.79900455,0.00560679
4.82986641,0.00585985
4.86072826,0.00611363
4.89159012,0.00636823
4.92245197,0.00662359
4.95331383,0.00687987
4.98417568,0.00713714
5.01503754,0.00739536
5.04589939,0.00765458
5.07676125,0.00791509
5.10762310,0.00817521
5.13848495,0.00843743
5.16934681,0.00870118
5.20020866,0.00896595
5.23107052,0.00923240
5.26193237,0.00949906
5.29279423,0.00976806
5.32365608,0.01003827
5.35451794,0.01030957
5.38537979,0.01058159
5.41624165,0.01085536
5.44710350,0.01112652
5.47796535,0.01141485
5.50882721,0.01168450
5.53968906,0.01196542
5.57055092,0.01224779
5.60141277,0.01253155
5.63227463,0.01281752
5.66313648,0.01310459
5.69399834,0.01339364
5.72486019,0.01368458
5.75572205,0.01397740
5.78658390,0.01427214
5.81744576,0.01456158
5.84830761,0.01486459
5.87916946,0.01516402
5.91003132,0.01546474
5.94089317,0.01576708
5.97175503,0.01607590
6.00261688,0.01637817
6.03347874,0.01669284
6.06434059,0.01700494
6.09520245,0.01731952
6.12606430,0.01763377
6.15692616,0.01795016
6.18778801,0.01826971
6.21864986,0.01859096
6.24951172,0.01891125
6.28037357,0.01923822
6.31123543,0.01956668
6.34209728,0.01989703
6.37295914,0.02022903
6.40382099,0.02056259
6.43468285,0.02089757
6.46554470,0.02123408
6.49640656,0.02157222
6.52726841,0.02191169
6.55813026,0.02225234
6.58899212,0.02259451
6.61985397,0.02293838
6.65071583,0.02328364
6.68157768,0.02363018
6.71243954,0.02397729
6.74330139,0.02432510
6.77416325,0.02467314
6.80502510,0.02502118
6.83588696,0.02536923
6.86674881,0.02571663
6.89761066,0.02606336
6.92847252,0.02640930
6.95933437,0.02675382
6.99019623,0.02709622
7.02105808,0.02743600
7.05191994,0.02777271
7.08278179,0.02810568
7.11364365,0.02843372
7.14450550,0.02875536
7.17536736,0.02906964
7.20622921,0.02937512
7.23709106,0.02967030
7.26795292,0.02995288
7.29881477,0.03021902
7.32967663,0.03046807
7.36053848,0.03069678
7.39140034,0.03090069
7.42226219,0.03107262
7.45312405,0.03120398
7.48398590,0.03128862
7.51484776,0.03131533
7.54570961,0.03126810
7.57657146,0.03110892
7.60743332,0.03081672
7.63829517,0.03034387
7.66915703,0.02962083
7.70001888,0.02468488
