xloc,zvavg
-8.00000000,0.00000000
-7.96800000,0.00000000
-7.93600000,0.00000000
-7.90400000,0.00000000
-7.87200000,0.00000000
-7.84000000,0.00000000
-7.80800000,0.00000000
-7.77600000,0.00000000
-7.74300000,0.00000000
-7.71100000,0.00000000
-7.67900000,0.00008966
-7.64700000,0.00026333
-7.61500000,0.00039011
-7.58300000,0.00053899
-7.55100000,0.00050089
-7.51900000,0.00055951
-7.48700000,0.00069330
-7.45500000,0.00062585
-7.42300000,0.00050159
-7.39100000,0.00058218
-7.35900000,0.00033056
-7.32700000,0.00050536
-7.29500000,0.00056421
-7.26300000,0.00070918
-7.23000000,0.00068564
-7.19800000,0.00079804
-7.16600000,0.00102052
-7.13400000,0.00076471
-7.10200000,0.00039584
-7.07000000,-0.00001574
-7.03800000,-0.00006407
-7.00600000,-0.00013796
-6.97400000,-0.00003802
-6.94200000,0.00026377
-6.91000000,0.00053738
-6.87800000,0.00064899
-6.84600000,0.00068012
-6.81400000,0.00072358
-6.78200000,0.00088257
-6.74900000,0.00103690
-6.71700000,0.00106520
-6.68500000,0.00102996
-6.65300000,0.00086735
-6.62100000,0.00062946
-6.58900000,0.00051327
-6.55700000,0.00076951
-6.52500000,0.00094839
-6.49300000,0.00116385
-6.46100000,0.00165261
-6.42900000,0.00209958
-6.39700000,0.00288712
-6.36500000,0.00278198
-6.33300000,0.00261223
-6.30100000,0.00270645
-6.26900000,0.00230003
-6.23600000,0.00209143
-6.20400000,0.00214242
-6.17200000,0.00209768
-6.14000000,0.00200438
-6.10800000,0.00208384
-6.07600000,0.00183856
-6.04400000,0.00179789
-6.01200000,0.00189987
-5.98000000,0.00222160
-5.94800000,0.00276970
-5.91600000,0.00331251
-5.88400000,0.00333607
-5.85200000,0.00340940
-5.82000000,0.00344030
-5.78800000,0.00352849
-5.75600000,0.00366148
-5.72300000,0.00374430
-5.69100000,0.00399775
-5.65900000,0.00447280
-5.62700000,0.00469154
-5.59500000,0.00466234
-5.56300000,0.00463553
-5.53100000,0.00447945
-5.49900000,0.00408909
-5.46700000,0.00367924
-5.43500000,0.00344099
-5.40300000,0.00357531
-5.37100000,0.00343638
-5.33900000,0.00333956
-5.30700000,0.00335688
-5.27500000,0.00351111
-5.24200000,0.00366054
-5.21000000,0.00400193
-5.17800000,0.00414345
-5.14600000,0.00442180
-5.11400000,0.00472424
-5.08200000,0.00483685
-5.05000000,0.00447284
-5.01800000,0.00428917
-4.98600000,0.00410657
-4.95400000,0.00397199
-4.92200000,0.00381756
-4.89000000,0.00359025
-4.85800000,0.00324238
-4.82600000,0.00304552
-4.79400000,0.00305451
-4.76200000,0.00322058
-4.72900000,0.00353059
-4.69700000,0.00401636
-4.66500000,0.00454271
-4.63300000,0.00491950
-4.60100000,0.00495267
-4.56900000,0.00473526
-4.53700000,0.00555802
-4.50500000,0.00531774
-4.47300000,0.00521365
-4.44100000,0.00513789
-4.40900000,0.00524620
-4.37700000,0.00531811
-4.34500000,0.00532901
-4.31300000,0.00534453
-4.28100000,0.00514154
-4.24800000,0.00490421
-4.21600000,0.00456927
-4.18400000,0.00415098
-4.15200000,0.00424801
-4.12000000,0.00466561
-4.08800000,0.00335835
-4.05600000,0.00345480
-4.02400000,0.00321367
-3.99200000,0.00295048
-3.96000000,0.00300659
-3.92800000,0.00292593
-3.89600000,0.00247503
-3.86400000,0.00241382
-3.83200000,0.00205691
-3.80000000,0.00211016
-3.76800000,0.00222525
-3.73500000,0.00223303
-3.70300000,0.00166490
-3.67100000,0.00141408
-3.63900000,0.00096533
-3.60700000,0.00032340
-3.57500000,0.00001740
-3.54300000,-0.00014475
-3.51100000,-0.00118643
-3.47900000,-0.00179848
-3.44700000,-0.00181832
-3.41500000,-0.00148004
-3.38300000,-0.00160902
-3.35100000,-0.00128593
-3.31900000,-0.00273919
-3.28700000,-0.00244095
-3.25500000,-0.00321534
-3.22200000,-0.00464517
-3.19000000,-0.00682057
-3.15800000,-0.00771800
-3.12600000,-0.00868468
-3.09400000,-0.00925817
-3.06200000,-0.00927516
-3.03000000,-0.01076849
-2.99800000,-0.01080907
-2.96600000,-0.01118533
-2.93400000,-0.01137163
-2.90200000,-0.01360427
-2.87000000,-0.01431893
-2.83800000,-0.01586176
-2.80600000,-0.01711306
-2.77400000,-0.01788640
-2.74100000,-0.02036485
-2.70900000,-0.02136443
-2.67700000,-0.02407304
-2.64500000,-0.02656617
-2.61300000,-0.02803242
-2.58100000,-0.03109364
-2.54900000,-0.03217566
-2.51700000,-0.03398003
-2.48500000,-0.03541690
-2.45300000,-0.03746108
-2.42100000,-0.04066901
-2.38900000,-0.04196415
-2.35700000,-0.04366883
-2.32500000,-0.04452405
-2.29300000,-0.04504926
-2.26100000,-0.04785576
-2.22800000,-0.04778589
-2.19600000,-0.05009806
-2.16400000,-0.05063822
-2.13200000,-0.05101998
-2.10000000,-0.05140423
-2.06800000,-0.05382444
-2.03600000,-0.05389821
-2.00400000,-0.05445946
-1.97200000,-0.05409293
-1.94000000,-0.05427131
-1.90800000,-0.05492643
-1.87600000,-0.05541439
-1.84400000,-0.05580828
-1.81200000,-0.05605406
-1.78000000,-0.05605707
-1.74700000,-0.05622215
-1.71500000,-0.05665687
-1.68300000,-0.05688926
-1.65100000,-0.05684405
-1.61900000,-0.05670644
-1.58700000,-0.05747306
-1.55500000,-0.05744935
-1.52300000,-0.05776594
-1.49100000,-0.05833173
-1.45900000,-0.05878767
-1.42700000,-0.05914678
-1.39500000,-0.05949295
-1.36300000,-0.06027081
-1.33100000,-0.06091860
-1.29900000,-0.06140249
-1.26700000,-0.06214495
-1.23400000,-0.06229073
-1.20200000,-0.06209475
-1.17000000,-0.06232241
-1.13800000,-0.06274506
-1.10600000,-0.06363561
-1.07400000,-0.06378963
-1.04200000,-0.06402584
-1.01000000,-0.06393610
-0.97800000,-0.06398731
-0.94600000,-0.06446376
-0.91400000,-0.06507295
-0.88200000,-0.06548345
-0.85000000,-0.06577442
-0.81800000,-0.06596416
-0.78600000,-0.06519349
-0.75400000,-0.06582959
-0.72100000,-0.06711214
-0.68900000,-0.06758276
-0.65700000,-0.06706147
-0.62500000,-0.06701967
-0.59300000,-0.06781408
-0.56100000,-0.06827879
-0.52900000,-0.06955571
-0.49700000,-0.06995371
-0.46500000,-0.07027112
-0.43300000,-0.07091844
-0.40100000,-0.07056980
-0.36900000,-0.07133498
-0.33700000,-0.07108288
-0.30500000,-0.07078987
-0.27300000,-0.07127213
-0.24000000,-0.07229449
-0.20800000,-0.07238632
-0.17600000,-0.07235581
-0.14400000,-0.07207030
-0.11200000,-0.07187163
-0.08000000,-0.07169199
-0.04800000,-0.07170540
-0.01600000,-0.07146538
0.01600000,-0.07089571
0.04800000,-0.07036736
0.08000000,-0.07038407
0.11200000,-0.07041252
0.14400000,-0.07010146
0.17600000,-0.06965995
0.20800000,-0.06982900
0.24000000,-0.07009264
0.27300000,-0.06923375
0.30500000,-0.06836851
0.33700000,-0.06751899
0.36900000,-0.06737603
0.40100000,-0.06751616
0.43300000,-0.06704215
0.46500000,-0.06663272
0.49700000,-0.06547982
0.52900000,-0.06535183
0.56100000,-0.06380937
0.59300000,-0.06213397
0.62500000,-0.06019234
0.65700000,-0.05904281
0.68900000,-0.05823459
0.72100000,-0.05722250
0.75400000,-0.05694099
0.78600000,-0.05661859
0.81800000,-0.05569132
0.85000000,-0.05470338
0.88200000,-0.05333934
0.91400000,-0.05244758
0.94600000,-0.05199074
0.97800000,-0.05135132
1.01000000,-0.05060329
1.04200000,-0.04952946
1.07400000,-0.04826013
1.10600000,-0.04648126
1.13800000,-0.04596857
1.17000000,-0.04570592
1.20200000,-0.04532738
1.23400000,-0.04448833
1.26700000,-0.04385235
1.29900000,-0.04338066
1.33100000,-0.04268661
1.36300000,-0.04199897
1.39500000,-0.04069890
1.42700000,-0.03994210
1.45900000,-0.03811482
1.49100000,-0.03733905
1.52300000,-0.03727084
1.55500000,-0.03726174
1.58700000,-0.03641369
1.61900000,-0.03567040
1.65100000,-0.03396357
1.68300000,-0.03239447
1.71500000,-0.03192201
1.74700000,-0.03114515
1.78000000,-0.03018626
1.81200000,-0.02916577
1.84400000,-0.02919581
1.87600000,-0.02904383
1.90800000,-0.02933208
1.94000000,-0.02642624
