xloc,vavg
-7.000000,0.000000
-6.859000,0.000000
-6.717000,0.000000
-6.576000,0.000000
-6.434000,0.000000
-6.293000,-0.000000
-6.152000,-0.000000
-6.010000,0.000009
-5.869000,0.000136
-5.727000,0.000504
-5.586000,0.001166
-5.444000,0.001441
-5.303000,0.000994
-5.162000,0.000656
-5.020000,0.000105
-4.879000,-0.000552
-4.737000,-0.000740
-4.596000,-0.000005
-4.455000,0.001899
-4.313000,0.003542
-4.172000,0.003136
-4.030000,0.001777
-3.889000,0.000486
-3.747000,-0.000758
-3.606000,-0.002016
-3.465000,-0.003434
-3.323000,-0.004898
-3.182000,-0.005147
-3.040000,-0.003020
-2.899000,-0.000149
-2.758000,0.001918
-2.616000,0.003125
-2.475000,0.003472
-2.333000,0.003045
-2.192000,0.002012
-2.051000,0.000623
-1.909000,-0.000881
-1.768000,-0.002293
-1.626000,-0.003539
-1.485000,-0.004550
-1.343000,-0.005429
-1.202000,-0.006081
-1.061000,-0.006456
-0.919000,-0.010801
-0.778000,-0.021764
-0.636000,-0.026996
-0.495000,-0.026020
-0.354000,-0.015118
-0.212000,-0.001755
-0.071000,-0.000000
0.071000,-0.000180
0.212000,-0.005716
0.354000,-0.020719
0.495000,-0.034537
0.636000,-0.054819
0.778000,-0.069181
0.919000,-0.064416
1.061000,-0.058005
1.202000,-0.052107
1.343000,-0.047871
1.485000,-0.045376
1.626000,-0.045139
1.768000,-0.044595
1.909000,-0.041562
2.051000,-0.015542
2.192000,-0.003434
2.333000,-0.007969
2.475000,-0.012287
2.616000,-0.018032
2.758000,0.001246
2.899000,0.012203
3.040000,0.004973
3.182000,-0.000096
3.323000,-0.004001
3.465000,-0.006271
3.606000,-0.007433
3.747000,-0.006476
3.889000,-0.004642
4.030000,-0.005093
4.172000,-0.005953
4.313000,-0.005611
4.455000,-0.003469
4.596000,0.000521
4.737000,0.002362
4.879000,0.000094
5.020000,-0.001768
5.162000,-0.001852
5.303000,-0.001267
5.444000,-0.000753
5.586000,-0.001071
5.727000,-0.001401
5.869000,-0.000985
6.010000,-0.000360
6.152000,-0.000041
6.293000,-0.000000
6.434000,0.000000
6.576000,0.000000
6.717000,0.000000
6.859000,0.000000
