-0.09833,-0.10244,-0.10584,-0.11152,-0.11331,-0.11271,-0.11165,-0.10954,-0.10754,-0.09875,-0.09395,-0.08831
1.049999999999999961e-01,4.853210435264119837e+01
1.150000000000000050e-01,5.135045813287669603e+01
1.250000000000000000e-01,7.087857396787163111e+01
1.499999999999999944e-01,5.368808099024012392e+01
1.600000000000000033e-01,4.266911062880930672e+01
1.700000000000000122e-01,4.081999958959234220e+01
2.000000000000000111e-01,4.236320521193724886e+01
2.099999999999999922e-01,5.522148676704974690e+01
2.200000000000000011e-01,5.020766360978701215e+01
2.449999999999999956e-01,4.495499379066527723e+01
2.550000000000000044e-01,6.845303692301253307e+01
2.650000000000000133e-01,7.766272626852615701e+01
