PIVlab, ASCII chart output - 19-Sep-2021
FRAME: 155, filenames: A: 72_12_75_110 155.jpg & B: 72_12_75_110 156.jpg, conversion factor xy (px -> m): 0.00024148, conversion factor uv (px/frame -> m/s): 1
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.0350147904,0.0147303601,NaN,NaN,0,-0.6978621082,0.2978230645,-1.207258094,0,1.207258094,0.6978621082,-70.08564825
0.0350147904,0.01859406111,NaN,NaN,0,-0.5313393284,0.3016187641,-1.612885809,0,1.254580952,1.185194533,-70.14802579
0.0350147904,0.02245776212,NaN,NaN,0,-0.2468238959,0.3089411592,-2.377125853,0,1.323048636,2.098850895,-70.2813219
0.0350147904,0.02632146313,NaN,NaN,0,-0.01649306959,0.3193029994,-2.999251216,0,1.277221384,2.908519025,-70.50004198
0.0350147904,0.03018516414,NaN,NaN,0,0.1366900385,0.3320866541,-3.473740593,0,1.120002992,3.572543352,-70.81895064
0.0350147904,0.03404886515,NaN,NaN,0,0.2222971174,0.3466163141,-3.788929974,0,0.8484228612,4.062073319,-71.24569967
0.0350147904,0.03791256616,NaN,NaN,0,0.2493664024,0.3621464987,-3.915522019,0,0.4644899529,4.356105921,-71.77760935
0.0350147904,0.04177626717,NaN,NaN,0,0.1923207305,0.3778430665,-3.830551204,0,-0.007775837722,4.448590227,-72.40786539
0.0350147904,0.04563996818,NaN,NaN,0,-0.01473732341,0.3928640854,-3.550464558,0,-0.5220029136,4.374995794,-73.13779631
0.0350147904,0.04950366919,NaN,NaN,0,-0.4382013169,0.4065609631,-3.148182687,0,-1.046468768,4.219511145,-73.99094946
0.0350147904,0.0533673702,NaN,NaN,0,-1.093925901,0.4186685484,-2.760614068,0,-1.576844699,4.061486639,-75.0194457
0.0350147904,0.05723107121,NaN,NaN,0,-2.053216959,0.4293955543,-2.649704738,0,-1.937528065,3.988781018,-76.28505481
0.0350147904,0.06109477222,NaN,NaN,0,-3.343411562,0.439987105,-3.201858796,0,-1.839224639,4.246564868,-77.82359327
0.0350147904,0.06495847323,NaN,NaN,0,-4.66766845,0.45336803,-4.638601367,0,-1.332716076,5.229391945,-79.60767126
0.0350147904,0.06882217424,NaN,NaN,0,-6.158490168,0.4733632054,-7.190744917,0,-0.2031216173,7.322408858,-81.54260408
0.0350147904,0.07268587525,NaN,NaN,0,-8.516304991,0.5052538494,-11.68835393,0,2.322175912,11.22172457,-83.49929471
0.0350147904,0.07654957626,NaN,NaN,0,-12.596436,0.5586047733,-19.66227551,0,7.1873029,18.5589129,-85.30865569
0.0350147904,0.08041327727,NaN,NaN,0,-19.8774472,0.650694043,-34.08654135,0,16.06451682,31.99749852,-86.80171573
0.0350147904,0.08427697828,NaN,NaN,0,-26.40392226,0.8126520583,-56.55363147,0,25.24852261,53.32761284,-87.81699125
0.0350147904,0.08814067929,NaN,NaN,0,-25.23249406,1.074700557,-83.68914141,0,28.17391059,78.72152767,-88.30230318
0.0350147904,0.09200438031,NaN,NaN,0,-2.968855445,1.440190465,-104.1908369,0,13.82861296,93.32176869,-88.31612626
0.0350147904,0.09586808132,NaN,NaN,0,46.56062207,1.838839935,-87.07907247,0,-27.60221789,81.75084736,-87.69993574
0.0350147904,0.09973178233,NaN,NaN,0,62.37628952,2.095066868,-44.8029461,0,-36.98480339,37.2650073,-86.83780697
0.0350147904,0.1035954833,NaN,NaN,0,111.6748869,2.161291701,30.30851374,0,-80.87834147,-33.58069349,-85.43803489
0.0350147904,0.1074591843,NaN,NaN,0,61.77831667,1.859877992,109.1478248,0,-34.37281306,-99.09356146,-82.75486213
0.0350147904,0.1113228854,NaN,NaN,0,-52.54025523,1.378149022,111.0304341,0,63.12928383,-87.45174746,-78.37137419
0.0350147904,0.1151865864,NaN,NaN,0,-62.69987319,1.112787754,43.07920651,0,58.45527174,-36.9906331,-75.66740043
0.0350147904,0.1190502874,NaN,NaN,0,-17.68263969,1.072826589,1.122571627,0,11.67732284,-3.689714248,-75.89816891
0.0350147904,0.1229139884,NaN,NaN,0,2.572974928,1.08917612,-7.294720462,0,-7.294720462,2.572974928,-76.60789909
0.03887849142,0.0147303601,NaN,NaN,0,-1.163089784,0.2940277269,-1.414633228,0,1.754190479,0.6096868952,-70.02166027
0.03887849142,0.01859406111,NaN,NaN,0,-0.9442510982,0.2980933423,-1.820548447,0,1.783053235,1.14515573,-70.07220003
0.03887849142,0.02245776212,NaN,NaN,0,-0.5700798401,0.305905294,-2.579277662,0,1.814784123,2.142801999,-70.18445124
0.03887849142,0.02632146313,NaN,NaN,0,-0.2542131093,0.3168892862,-3.169072204,0,1.703480283,3.031977826,-70.37907443
0.03887849142,0.03018516414,NaN,NaN,0,-0.02986574328,0.3303561886,-3.612138489,0,1.468496541,3.76793981,-70.67943792
0.03887849142,0.03404886515,NaN,NaN,0,0.1377572212,0.3456417485,-3.910966482,0,1.103853329,4.324131513,-71.09840796
0.03887849142,0.03791256616,NaN,NaN,0,0.280754953,0.3620191275,-4.014435263,0,0.6055492414,4.670303834,-71.62908898
0.03887849142,0.04177626717,NaN,NaN,0,0.3653444803,0.3785737834,-3.863898007,0,0.0111740797,4.776437995,-72.253297
0.03887849142,0.04563996818,NaN,NaN,0,0.2769432234,0.3942659094,-3.456450721,0,-0.5870387427,4.673095072,-72.95757736
0.03887849142,0.04950366919,NaN,NaN,0,-0.1104614922,0.4082646556,-2.869950597,0,-1.136037925,4.485569839,-73.75723999
0.03887849142,0.0533673702,NaN,NaN,0,-0.7879444858,0.420225069,-2.206571738,0,-1.748952203,4.253550797,-74.72132132
0.03887849142,0.05723107121,NaN,NaN,0,-1.948708224,0.4297994247,-1.735015758,0,-2.170120051,3.909917136,-75.94296742
0.03887849142,0.06109477222,NaN,NaN,0,-3.795962862,0.4375799409,-2.095980087,1.080048231,-1.760816189,3.742811837,-77.48502223
0.03887849142,0.06495847323,NaN,NaN,0,-5.532254395,0.4472428035,-3.376805529,1.759215649,-0.9246511963,4.265596969,-79.31497115
0.03887849142,0.06882217424,NaN,NaN,0,-7.346013244,0.4620249308,-5.247155136,2.103151284,0.4556914932,5.514234375,-81.30157011
0.03887849142,0.07268587525,NaN,NaN,0,-10.51914544,0.484350335,-8.338308689,2.149000719,3.70750309,7.657584638,-83.32482491
0.03887849142,0.07654957626,NaN,NaN,0,-16.14473231,0.5203402213,-13.57500863,0,9.924392474,12.09443821,-85.19838034
0.03887849142,0.08041327727,NaN,NaN,0,-29.50553828,0.581142552,-26.60380166,0,24.63127989,23.54588521,-86.81705364
0.03887849142,0.08427697828,NaN,NaN,0,-43.52580648,0.712706413,-52.84287115,0,40.93112137,48.30615286,-88.01207952
0.03887849142,0.08814067929,NaN,NaN,0,-50.08558162,0.9713103331,-92.60482412,0,49.20547336,87.23333319,-88.68784419
0.03887849142,0.09200438031,NaN,NaN,0,-20.84621842,1.407279893,-141.6609895,0,31.52567025,119.6362384,-89.13184768
0.03887849142,0.09586808132,NaN,NaN,0,82.37462826,1.981647802,-115.5131299,0,-61.75065937,111.3960706,-88.16356238
0.03887849142,0.09973178233,NaN,NaN,0,70.73210346,2.286060201,-77.90389607,0,-44.31259465,63.35925153,-87.4676184
0.03887849142,0.1035954833,0.1655817518,-2.526428559,1,91.84644825,2.531848847,25.99925039,29.12594993,-52.25380177,-39.49493843,-86.25020605
0.03887849142,0.1074591843,0.2539814505,-2.030777693,1,213.1406344,2.046598304,151.1947345,0,-172.3096976,-211.1580354,-82.87125457
0.03887849142,0.1113228854,0.3233402837,-1.126405796,1,162.8626899,1.171895454,150.4370999,0,-154.2565063,-156.698219,-73.98361574
0.03887849142,0.1151865864,NaN,NaN,0,-123.8453138,0.8916307687,20.81535642,24.49164538,106.5277977,-16.09969492,-71.20738792
0.03887849142,0.1190502874,NaN,NaN,0,-14.58332894,1.016648403,-33.90020239,0,3.172852618,26.7989319,-75.3904098
0.03887849142,0.1229139884,NaN,NaN,0,13.7695118,1.105687817,-28.62763653,0,-20.64586025,20.46771678,-77.29653493
0.04274219243,0.0147303601,NaN,NaN,0,-2.15173657,0.2861676953,-1.884910176,0,2.920239786,0.4001618865,-69.90242013
0.04274219243,0.01859406111,NaN,NaN,0,-1.811200336,0.2908234892,-2.288399939,0,2.90291263,1.042096703,-69.92658371
