1.160723956644018173e+00,0.000000000000000000e+00
1.161891282605052034e+00,1.000000000000000000e+00
1.206316062890455898e+00,2.000000000000000000e+00
1.348653942277729945e+00,3.000000000000000000e+00
1.261512464152128699e+00,4.000000000000000000e+00
1.696109983457816162e+00,5.000000000000000000e+00
1.230039757195643846e+00,6.000000000000000000e+00
1.389068454726511304e+00,7.000000000000000000e+00
1.601011106909431492e+00,8.000000000000000000e+00
1.150991328102828115e+00,9.000000000000000000e+00
