-0.09833,-0.10244,-0.10584,-0.11152,-0.11331,-0.11271,-0.11165,-0.10954,-0.10754,-0.09875,-0.09395,-0.08831
1.049999999999999961e-01,4.710212019071705924e+01
1.150000000000000050e-01,5.011641801116434891e+01
1.250000000000000000e-01,7.696102870395723983e+01
1.499999999999999944e-01,5.061130906145934460e+01
1.600000000000000033e-01,3.861157333189818530e+01
1.700000000000000122e-01,3.878302354316149092e+01
2.000000000000000111e-01,4.296558928151111445e+01
2.099999999999999922e-01,5.566113953988699592e+01
2.200000000000000011e-01,4.943156036747373605e+01
2.449999999999999956e-01,4.560487082647834711e+01
2.550000000000000044e-01,7.025469834995202234e+01
2.650000000000000133e-01,7.993858642129661973e+01
